curveID,date,taxon,temp_acclim,light_acclim,vpd_acclim,patm_acclim,co2_acclim,Photo,Tleaf,gsw,Ci,Qin,VPDleaf,CO2_r,patm,z,PPFD
16,20210323 14:31:00,BOOF,10,250,1000,,420,9.945635035,14.76386129,0.199887952,320.6373798,600.0219677,1.422854785,420.0045161,,85,600
16,20210323 14:41:01,BOOF,10,250,1000,,420,11.08149555,17.81415161,0.279594217,334.6879778,599.9924839,1.493337531,420.0120968,,85,600
16,20210323 14:51:14,BOOF,10,250,1000,,420,11.952683,20.25422903,0.372904925,345.4151495,599.9970323,1.491774584,420.0209677,,85,600
16,20210323 15:01:16,BOOF,10,250,1000,,420,12.28860833,23.52426333,0.452474623,352.3554719,600.0074333,1.503350012,419.983,,85,600
16,20210323 15:11:17,BOOF,10,250,1000,,420,12.39430819,26.27905333,0.503908745,356.057228,599.9978667,1.506115929,419.9910333,,85,600
16,20210323 15:19:35,BOOF,10,250,1000,,420,12.24330527,27.54925484,0.545356464,358.3568639,599.9836774,1.656369114,420.0116452,,85,600
17,20210323 16:08:49,RASA,10,250,1000,,420,18.04904137,9.317963667,0.183774579,237.8538173,600.0147333,0.985591864,420.0031333,,85,600
17,20210323 16:16:06,RASA,10,250,1000,,420,19.50691695,11.1935871,0.202481246,238.5124961,599.993871,1.112232895,419.9961613,,85,600
17,20210323 16:26:06,RASA,10,250,1000,,420,20.77726728,14.13196333,0.218227099,237.579498,599.9739667,1.348397727,419.9966,,85,600
17,20210323 16:36:07,RASA,10,250,1000,,420,21.33239108,17.66177667,0.239513364,245.8370668,600.0094667,1.487654639,420.0116333,,85,600
17,20210323 16:46:07,RASA,10,250,1000,,420,21.81278671,20.12727667,0.245342947,245.2774776,600.0130333,1.520975722,419.9424,,85,600
17,20210323 16:56:08,RASA,10,250,1000,,420,22.33754855,22.18988387,0.305650175,269.8582194,600.0265806,1.474607856,420.0240323,,85,600
17,20210323 17:06:08,RASA,10,250,1000,,420,22.76093383,24.62090968,0.324146505,273.6069004,599.9903226,1.506045638,419.9857742,,85,600
17,20210323 17:19:09,RASA,10,250,1000,,420,22.34699046,29.00558,0.380107349,288.1874861,599.9984,2.075429679,420.0018,,85,600
17,20210323 17:29:17,RASA,10,250,1000,,420,21.68277231,32.05341667,0.423657506,297.0760359,600.0179,2.606136635,419.9908,,85,600
18,20210324 13:02:43,HOVU,10,250,1000,,420,13.34136918,8.73312871,0.187689135,284.381741,599.9964194,0.921759215,420.0033226,,85,600
18,20210324 13:12:44,HOVU,10,250,1000,,420,14.32277134,10.40455484,0.1809309,269.6645209,600.0114194,1.043324663,420.0076774,,85,600
18,20210324 13:22:45,HOVU,10,250,1000,,420,15.64520377,14.44085,0.17184957,247.257898,600.0002667,1.382930382,419.9844,,85,600
18,20210324 13:32:48,HOVU,10,250,1000,,420,15.23947895,18.0073,0.146018413,226.0442858,599.969,1.509104454,419.9887419,,85,600
